city,temp,temp_max,temp_min,lon,lat
Aouste-sur-Sye,2.25,2.38,1.03,5.05516,44.716991
Apchat,-3.33,-3.23,-3.42,3.14528,45.3895
Apcher,-6.59,3.4,-6.59,3.02842,45.316051
Appeville,8.69,8.86,7.15,-1.3427,49.321838
Appietto,7.18,7.29,-1.61,8.76789,42.014542
Appilly,6.71,7.54,4.84,3.11667,49.583328
Appoigny,2.75,2.75,1.09,3.52524,47.874668
Apprieu,0.54,2.96,-2.16,5.4962800000000005,45.39922
Apremont,4.82,6.84,4.4,-1.74075,46.748501
Apt,-1.06,4.89,-1.84,5.4,43.883331
Aramits,3.73,5.95,1.92,-0.71667,43.116669
Aramon,5.49,7.01,2.94,4.68096,43.891739
Arance,5.33,7.91,2.79,-0.65,43.416672
Arancou,5.55,8.06,2.94,-1.0507900000000001,43.44455
Araules,-4.16,-4.1,-4.22,4.17326,45.090561
Arbanats,5.33,7.06,-0.05,-0.39453000000000005,44.675831
Arbent,-0.23,2.3,-4.47,5.6789000000000005,46.29221
Arbis,5.56,7.58,5.03,-0.24551000000000003,44.67868
Arbois,0.03,4.8,-1.73,5.77454,46.903111
Arbonne,5.98,8.8,3.84,-1.55118,43.43248
Arbouans,3.04,5.41,1.76,6.79505,47.499439
Arboucave,4.88,5.84,2.75,-0.43428000000000005,43.61298
Arbouet-Sussaute,5.27,7.92,3.36,-1.00026,43.369881
Arbus,5.06,5.57,2.49,-0.5,43.333328
Arc-et-Senans,0.21,5.23,-1.3,5.77027,47.031269
Arc-sur-Tille,1.43,3.1,-1.2,5.18666,47.343479
Arcachon,-0.04,5.15,-0.05,-1.16667,44.650002
Arcangues,5.78,8.66,3.53,-1.52237,43.43124
Arcey,1.67,5.21,-2.23,6.66222,47.522579
Archamps,1.76,2.62,-2.25,6.13287,46.136509
Arches,5.51,6.9,1.55,6.52806,48.118561
Archettes,2.76,3.81,1.58,6.53724,48.123199
Archigny,4.14,4.14,3.18,0.6537200000000001,46.67411
Arcins,5.45,5.69,0.08,-0.72452,45.07407
Arcis-sur-Aube,2.75,6.27,1.07,4.14085,48.533871
Arcizans-Avant,0.39,4.11,0.3,-0.1,42.98333
Arconsat,-3.56,-0.39,-3.85,3.71368,45.889221
