city,temp,temp_max,temp_min
Arpheuilles-Saint-Priest,-1.09,-1.09,-2.28
Arques,7.46,8.27,6.62
Arques-la-Bataille,7.17,7.5,5.83
Arradon,8.3,8.8,6.49
Arras,6.96,7.61,6.31
Arras,6.95,7.6,6.29
Arrast-Larrebieu,3.99,7.45,3.14
Arrast-Larrebieu,3.92,7.43,3.12
Arraute-Charritte,5.95,8.05,3.55
Arraute-Charritte,5.79,7.88,3.38
Arricau-Bordes,3.09,7.92,1.8
Arricau-Bordes,3.09,7.92,1.8
Arrondissement d'Abbeville,7.17,7.78,6.66
Arrondissement d'Agen,7.93,9.13,5.81
Arrondissement d'Aix-en-Provence,1.38,11.36,-2.46
Arrondissement d'Ajaccio,6.73,6.99,3.27
Arrondissement d'Albertville,-8.18,-5.61,-11.91
Arrondissement d'Albi,8.01,10.47,5.15
Arrondissement d'Alençon,5.78,5.78,5.78
Arrondissement d'Altkirch,2.1,3.01,-0.54
Arrondissement d'Alès,2.64,5.82,1.75
Arrondissement d'Ambert,-5.34,-4.87,-5.34
Arrondissement d'Amiens,6.63,7.57,5.9
Arrondissement d'Ancenis,6.07,6.81,5.57
Arrondissement d'Angers,5.57,6.27,5.37
Arrondissement d'Angoulême,4.39,9.29,2.9
Arrondissement d'Annecy,0.79,2.45,-2.66
Arrondissement d'Antony,5.5,6.59,4.19
Arrondissement d'Apt,-1.62,4.46,-2.27
Arrondissement d'Arcachon,0.04,5.23,0.03
Arrondissement d'Argelès-Gazost,-2.93,-0.18,-4.19
Arrondissement d'Argentan,6.47,6.47,6.47
Arrondissement d'Argenteuil,5.59,6.76,4.36
Arrondissement d'Arles,4.95,6.94,2.92
Arrondissement d'Arras,6.67,7.34,6.04
Arrondissement d'Aubusson,-1.13,-1.13,-1.13
Arrondissement d'Auch,7.21,8.48,4.78
Arrondissement d'Aurillac,5.05,5.05,1.7
Arrondissement d'Autun,0.86,1.79,-0.89
Arrondissement d'Auxerre,1.74,1.74,1.74
Arrondissement d'Avallon,1.71,1.71,1.71
Arrondissement d'Avesnes-sur-Helpe,5.3,6.52,4.14
Arrondissement d'Avignon,4.65,6.46,2.4
Arrondissement d'Avranches,6.27,6.27,6.27
Arrondissement d'Issoire,-4.7,-4.7,-4.7
Arrondissement d'Issoudun,3.72,3.83,0.54
Arrondissement d'Istres,2.03,6.81,-1.92
Arrondissement d'Oloron-Sainte-Marie,1.83,4.05,1.79
Arrondissement d'Orléans,3.68,4.42,2.21
Arrondissement d'Ussel,0.67,0.67,0.67
Arrondissement d'Yssingeaux,-3.34,-3.34,-3.34
Arrondissement d'Épernay,4.62,5.11,0.53
Arrondissement d'Épinal,2.3,2.62,1.13
Arrondissement d'Étampes,5.26,6.51,3.05
Arrondissement d'Évreux,6.06,6.91,4.22
Arrondissement d'Évry,5.2,6.44,4.05
Arrondissement de Bagnères-de-Bigorre,-5.09,-1.28,-5.09
Arrondissement de Bar-le-Duc,4.02,4.61,0.1
Arrondissement de Bar-sur-Aube,3.07,4.35,0.19
Arrondissement de Barcelonnette,-4.63,0.45,-5.74
Arrondissement de Bastia,7.47,9.05,4.63
Arrondissement de Bayeux,7.21,8.63,7.21
Arrondissement de Bayonne,5.75,8.86,3.27
Arrondissement de Beaune,-0.06,0.9,-3.43
Arrondissement de Beauvais,5.84,7.11,4.62
Arrondissement de Belfort,2.53,3.27,0.26
